event_date,visits,sales,conversion,promo_type,weather,paydays,school_breaks,local_events,open_hours
2023-01-01,265,3257.19,0.485,bogo,cloudy,True,False,,12.0
2023-01-02,152,1825.27,0.426,bogo,sunny,True,False,Valentine's,10.0
2023-01-03,156,1832.65,0.445,bogo,cloudy,False,False,,10.0
2023-01-04,122,1390.28,0.419,bogo,humid,False,False,,10.0
2023-01-05,193,2066.09,0.34,,sunny,False,False,,10.0
2023-01-06,280,3431.01,0.439,bundle,sunny,False,False,,10.0
2023-01-07,243,2856.26,0.468,bundle,rainy,False,False,,12.0
2023-01-08,144,1551.35,0.412,bundle,sunny,False,False,,12.0
2023-01-09,100,1022.52,0.33,,sunny,False,False,,10.0
2023-01-10,147,1633.83,0.327,,humid,False,False,,10.0
2023-01-11,113,1424.53,0.363,,sunny,False,False,,10.0
2023-01-12,106,1079.11,0.343,,rainy,False,False,Easter,10.0
2023-01-13,182,2293.67,0.377,,humid,False,False,,10.0
2023-01-14,373,4490.65,0.353,,sunny,True,False,,12.0
2023-01-15,278,3324.02,0.35,,sunny,True,False,,12.0
2023-01-16,123,1479.07,0.363,,humid,True,False,,10.0
2023-01-17,141,1808.89,0.381,,sunny,False,False,,10.0
2023-01-18,205,2379.88,0.369,,sunny,False,False,,10.0
2023-01-19,257,2735.49,0.35,,sunny,False,False,Black Friday,10.0
2023-01-20,129,1542.19,0.36,,humid,False,False,,10.0
2023-01-21,244,2410.1,0.315,,sunny,False,False,,12.0
2023-01-22,104,1212.21,0.373,,sunny,False,False,,12.0
2023-01-23,162,1772.61,0.32,,sunny,False,False,,10.0
2023-01-24,114,1246.41,0.353,,rainy,False,False,,10.0
2023-01-25,69,710.0,0.329,,humid,False,False,,10.0
2023-01-26,69,727.45,0.351,,storm,False,False,,10.0
2023-01-27,199,2123.87,0.32,,sunny,False,False,,10.0
2023-01-28,288,2838.25,0.32,,sunny,False,False,,12.0
2023-01-29,268,3203.62,0.348,,cloudy,False,False,,12.0
2023-01-30,72,794.96,0.345,,rainy,False,False,,10.0
2023-01-31,146,1575.23,0.343,,cloudy,False,False,,10.0
2023-02-01,147,1627.19,0.346,,humid,True,False,,10.0
2023-02-02,83,869.09,0.354,,sunny,True,False,,10.0
2023-02-03,123,1624.99,0.38,,storm,False,False,,10.0
2023-02-04,201,2450.96,0.342,,sunny,False,False,,12.0
2023-02-05,217,2655.65,0.345,,sunny,False,False,,12.0
2023-02-06,72,910.41,0.383,,storm,False,False,,10.0
2023-02-07,156,1805.95,0.356,,cloudy,False,False,,10.0
2023-02-08,152,1825.38,0.357,,humid,False,False,,10.0
2023-02-09,174,1912.95,0.332,,sunny,False,False,,10.0
2023-02-10,20,223.1,0.329,,cloudy,False,False,,10.0
2023-02-11,197,2072.15,0.336,,sunny,False,False,,12.0
2023-02-12,177,2573.16,0.489,bundle,rainy,False,False,,12.0
2023-02-13,160,1975.6,0.419,bundle,humid,False,False,,10.0
2023-02-14,193,2301.92,0.406,bundle,rainy,True,False,,10.0
2023-02-15,169,1642.7,0.324,,sunny,True,False,,10.0
2023-02-16,116,1273.63,0.329,,sunny,True,False,,10.0
2023-02-17,120,1339.67,0.374,,sunny,False,False,,10.0
2023-02-18,558,5843.24,0.326,,sunny,False,False,Christmas,12.0
2023-02-19,251,3226.75,0.381,,rainy,False,False,,12.0
2023-02-20,217,3208.21,0.489,bogo,sunny,False,False,,10.0
2023-02-21,208,2767.03,0.466,bogo,sunny,False,False,,10.0
2023-02-22,320,4527.78,0.472,bogo,sunny,False,False,,10.0
2023-02-23,96,1183.3,0.477,bogo,sunny,False,False,,10.0
2023-02-24,211,2599.12,0.362,,sunny,False,False,,10.0
2023-02-25,138,1392.36,0.342,,sunny,False,False,,12.0
2023-02-26,106,1223.54,0.376,,cloudy,False,False,,12.0
2023-02-27,167,1831.74,0.32,,cloudy,False,False,,10.0
2023-02-28,165,1828.1,0.317,,sunny,False,False,,10.0
2023-03-01,137,1443.24,0.318,,sunny,True,False,,10.0
2023-03-02,213,2454.51,0.378,,sunny,True,False,,10.0
2023-03-03,192,2401.56,0.371,,sunny,False,False,,10.0
2023-03-04,25,315.52,0.379,,humid,False,False,,12.0
2023-03-05,261,3067.97,0.35,,cloudy,False,False,,12.0
2023-03-06,148,1726.66,0.342,,sunny,False,False,,10.0
2023-03-07,204,2375.99,0.373,,sunny,False,False,,10.0
2023-03-08,132,1556.45,0.362,,sunny,False,False,,10.0
2023-03-09,142,1593.97,0.361,,rainy,False,False,,10.0
2023-03-10,228,2650.28,0.337,,cloudy,False,False,,10.0
2023-03-11,253,3441.03,0.485,bundle,sunny,False,False,,12.0
2023-03-12,137,1906.22,0.467,bundle,rainy,False,False,,12.0
2023-03-13,146,1808.07,0.475,bundle,humid,False,False,,10.0
2023-03-14,43,418.29,0.323,,rainy,True,False,,10.0
2023-03-15,124,1427.44,0.337,,cloudy,True,False,,10.0
2023-03-16,80,838.28,0.346,,sunny,True,False,,10.0
2023-03-17,235,2729.21,0.374,,humid,False,False,,10.0
2023-03-18,66,686.69,0.331,,rainy,False,False,,12.0
2023-03-19,273,2979.16,0.419,percent_off,humid,False,False,,12.0
2023-03-20,144,1867.23,0.48,percent_off,sunny,False,False,,10.0
2023-03-21,127,1536.62,0.407,percent_off,rainy,False,False,,10.0
2023-03-22,216,2831.13,0.44,percent_off,cloudy,False,False,,10.0
2023-03-23,101,1314.7,0.371,,rainy,False,False,,10.0
2023-03-24,99,1247.21,0.371,,cloudy,False,False,,10.0
2023-03-25,218,2696.89,0.352,,rainy,False,False,,12.0
2023-03-26,54,548.03,0.328,,cloudy,False,False,,12.0
2023-03-27,162,1896.88,0.377,,sunny,False,False,,10.0
2023-03-28,36,406.96,0.319,,storm,False,False,,10.0
2023-03-29,245,2588.29,0.423,flash,sunny,False,False,,10.0
2023-03-30,195,2380.75,0.425,flash,sunny,False,False,,10.0
2023-03-31,109,1453.8,0.46,flash,rainy,False,False,,10.0
2023-04-01,287,3254.86,0.337,,sunny,True,False,,12.0
2023-04-02,126,1360.36,0.32,,storm,True,False,,12.0
